,timestamp,Open,High,Low,Close,Volume,quote_volume,close,high,low,open,volume,DateTime,ATR,SuperTrend,TrendDir,AdaptiveATR,shifted_dir
199,1747800000000,0.0016841,0.0016859,0.001679,0.0016824,2868800.0,4824.81078,0.0016824,0.0016859,0.001679,0.0016841,2868800.0,2025-05-21 04:00:00,,0.0017392123076923074,1.0,1.8920769230769192e-05,1.0
198,1747800300000,0.0016824,0.0016918,0.0016817,0.0016896,6902600.0,11661.05407,0.0016896,0.0016918,0.0016817,0.0016824,6902600.0,2025-05-21 04:05:00,,0.0017392123076923074,1.0,1.8920769230769192e-05,1.0
197,1747800600000,0.0016896,0.0016905,0.0016802,0.0016802,22134700.0,37335.85365,0.0016802,0.0016905,0.0016802,0.0016896,22134700.0,2025-05-21 04:10:00,,0.0017392123076923074,1.0,1.8920769230769192e-05,1.0
196,1747800900000,0.0016802,0.0016816,0.0016769,0.0016791,2400900.0,4032.45955,0.0016791,0.0016816,0.0016769,0.0016802,2400900.0,2025-05-21 04:15:00,,0.0017360123076923075,1.0,1.8920769230769192e-05,1.0
195,1747801200000,0.0016791,0.0016859,0.001677,0.0016838,37929400.0,63822.72122,0.0016838,0.0016859,0.001677,0.0016791,37929400.0,2025-05-21 04:20:00,,0.0017360123076923075,1.0,1.8920769230769192e-05,1.0
194,1747801500000,0.0016838,0.0016863,0.0016807,0.0016838,7077100.0,11909.91513,0.0016838,0.0016863,0.0016807,0.0016838,7077100.0,2025-05-21 04:25:00,,0.0017360123076923075,1.0,1.8920769230769192e-05,1.0
193,1747801800000,0.0016838,0.0016838,0.0016743,0.0016774,21074000.0,35394.98609,0.0016774,0.0016838,0.0016743,0.0016838,21074000.0,2025-05-21 04:30:00,,0.0017358123076923076,1.0,1.8920769230769192e-05,1.0
192,1747802100000,0.0016774,0.0016985,0.001676,0.001695,10909700.0,18404.19451,0.001695,0.0016985,0.001676,0.0016774,10909700.0,2025-05-21 04:35:00,,0.0017358123076923076,1.0,1.8920769230769192e-05,1.0
191,1747802400000,0.001695,0.0017017,0.0016919,0.0016956,10433100.0,17703.94852,0.0016956,0.0017017,0.0016919,0.001695,10433100.0,2025-05-21 04:40:00,,0.0017358123076923076,1.0,1.8920769230769192e-05,1.0
190,1747802700000,0.0016956,0.0016986,0.0016861,0.0016885,23418200.0,39580.905,0.0016885,0.0016986,0.0016861,0.0016956,23418200.0,2025-05-21 04:45:00,,0.0017358123076923076,1.0,1.8920769230769192e-05,1.0
189,1747803000000,0.0016885,0.0016928,0.001686,0.0016914,2038900.0,3442.33858,0.0016914,0.0016928,0.001686,0.0016885,2038900.0,2025-05-21 04:50:00,1.0069999999999936e-05,0.0017147546666666665,1.0,8.451555555555538e-06,1.0
188,1747803300000,0.0016914,0.0016933,0.0016887,0.0016891,4142600.0,7004.93236,0.0016891,0.0016933,0.0016887,0.0016914,4142600.0,2025-05-21 04:55:00,9.519999999999927e-06,0.0017147546666666665,1.0,8.451555555555538e-06,1.0
187,1747803600000,0.0016891,0.0017045,0.0016888,0.0016991,11638000.0,19773.40216,0.0016991,0.0017045,0.0016888,0.0016891,11638000.0,2025-05-21 05:00:00,1.005999999999993e-05,0.0017147546666666665,1.0,8.451555555555538e-06,1.0
186,1747803900000,0.0016991,0.0017005,0.0016948,0.0016961,1257600.0,2135.73233,0.0016961,0.0017005,0.0016948,0.0016991,1257600.0,2025-05-21 05:05:00,1.0159999999999943e-05,0.0017147546666666665,1.0,1.1722380952380944e-05,1.0
185,1747804200000,0.0016961,0.0017105,0.0016951,0.0017035,15868600.0,27018.4883,0.0017035,0.0017105,0.0016951,0.0016961,15868600.0,2025-05-21 05:10:00,1.0809999999999964e-05,0.0017147546666666665,1.0,1.1722380952380944e-05,-1.0
184,1747804500000,0.0017035,0.0017213,0.0017033,0.0017148,40088500.0,68783.59947,0.0017148,0.0017213,0.0017033,0.0017035,40088500.0,2025-05-21 05:15:00,1.2049999999999973e-05,0.0016771328571428571,-1.0,1.1722380952380944e-05,-1.0
183,1747804800000,0.0017148,0.0017207,0.0017087,0.0017185,13189400.0,22635.50943,0.0017185,0.0017207,0.0017087,0.0017148,13189400.0,2025-05-21 05:20:00,1.2299999999999964e-05,0.0016795328571428572,-1.0,1.1722380952380944e-05,-1.0
182,1747805100000,0.0017185,0.0017213,0.0017161,0.001718,6497600.0,11170.52007,0.001718,0.0017213,0.0017161,0.0017185,6497600.0,2025-05-21 05:25:00,1.056999999999998e-05,0.0016835328571428573,-1.0,1.1722380952380944e-05,-1.0
181,1747805400000,0.001718,0.0017226,0.0017176,0.0017226,4450900.0,7657.08317,0.0017226,0.0017226,0.0017176,0.001718,4450900.0,2025-05-21 05:30:00,1.008999999999999e-05,0.0016849328571428572,-1.0,1.1722380952380944e-05,-1.0
